序号,标准问,相似问,相似度-模型A,相似度-模型B,排名-模型A,排名-模型B
0,58车金融客服电话是多少,58金融公司的客服电话是多少,0.9821452160633584,0.984131501302456,1,1
1,半年得利提前支取影响已发放利息吗,季得利满180天取出不扣利息吗,0.9351337269010488,0.968958339812672,1,2
2,拨打我行人工客服电话是否收费,你们客服电话是不还收费呢,0.9145552954669958,0.96353411007767,2,2
3,拨打我行人工客服电话是否收费,打电话不要钱吗,0.8697487602847489,0.9468259912389926,32,4
4,拨打我行人工客服电话是否收费,打电话免费吗,0.8895251973404967,0.9495477248406268,2,2
5,按期还款和任性还款的区别是什么,按期还款和任性还款的区别是什么,1.0,1.0,1,1
6,按期还款是什么,按期还款完后面就不会有多出的费用了把,0.8426458526368608,0.9010088755980906,309,434
7,操作好人贷是否需要开启定位,怎么会无法获取地理位置？,0.8331255489419397,0.9376507430456732,316,25
8,操作好人贷是否需要开启定位,不开定位还不能用啊,0.8410372446878913,0.911732769896468,84,77
9,操作好人贷是否需要开启定位,点击领取额度需要设置微信定位,0.8845801177148168,0.9596406989492738,119,4
10,操作好人贷是否需要开启定位,不打开同时三处的定位肯定会拒绝是吗,0.8599440143230569,0.9362351521419088,115,95
11,操作好人贷是否需要开启定位,借款需要开启定位吗,0.9315745098406628,0.9654452407792016,3,1
12,操作好人贷是否需要开启定位,Gps是什么意思,0.7376979407585678,0.9049004554007556,428,242
13,操作好人贷是否需要开启定位,使用好人贷要开定位吗,0.9479809210506592,0.9722737780572371,1,1
14,操作好人贷是否需要开启定位,必须开GPS吗,0.8142510859038928,0.9325941276348559,127,5
15,操作好人贷是否需要开启定位,Gps需要一直打开吗,0.8599993447695626,0.948351122487876,102,1
16,查询车贷的注册手机号码是什么,查询的手机号码根注册的不一致查不了的吗？,0.9249207354264708,0.9553761398254568,4,7
17,查询车贷的注册手机号码是什么,首次登录的号码不是车贷合同号码,0.9367807064455076,0.9615222420499524,3,3
18,查询车贷的注册手机号码是什么,登陆车贷合同的手机号,0.9337680725283076,0.945886873643006,2,21
19,查询车贷的注册手机号码是什么,我想用车贷合同号码登录，但是提示号码微信已使用,0.9169990525743871,0.9497259345784428,12,66
20,白骑士认证失败是什么意思,登陆显示白骑士认证失败是什么原因,0.9502585418767316,0.9852775553235265,1,1
21,白骑士认证失败是什么意思,白骑士认证失败,0.931924712508622,0.9515981915619076,1,2
22,白骑士认证失败是什么意思,显示白骑士认证失败,0.9284203265879843,0.9577742891885694,1,1
23,白骑士认证失败是什么意思,白骑士认证失败是什么意思呢,0.9918351793895244,0.9968960237988316,1,1
24,白骑士认证失败是什么意思,白骑士认证失败是怎么回事,0.960284573965314,0.980902681829376,1,1
25,绑卡时页面上的银行卡预留手机号码可以修改吗,银行预留手机号默认的怎么修改,0.9606460282747278,0.9602102875004449,2,12
26,绑定银行卡产生费用吗,绑定银行卡不收费吧,0.9469263681237768,0.9801512022271056,1,1
27,绑定银行卡失败,绑定银行卡绑定不了咋办？,0.9304292280565812,0.9562141563118072,6,5
28,绑定银行卡失败,绑定银行卡，显示信息错误,0.9548681002787686,0.967626376573311,1,2
29,绑定银行卡失败,工行卡绑定不起呢？,0.8816535194398942,0.9516051959346424,217,15
30,绑定银行卡失败,绑卡提示四要素不一致,0.8812430560948903,0.9383299303854954,92,108
31,绑定银行卡失败,绑卡失败是怎么回事？,0.8314211763778667,0.9241926528688036,67,54
32,绑定银行卡失败,为什么绑卡绑不了呢？,0.8527472410869537,0.9193089616737704,185,114
33,绑定银行卡失败,绑卡不成功姓名与卡号不符合,0.9117700333142548,0.9489139343604864,1,10
34,绑定银行卡失败,是什么原因导致绑卡失败的呢,0.8390510075112272,0.9318577383071588,253,104
35,绑定银行卡失败,绑定银行卡后下一步无法操作,0.9367655293495448,0.9633758888889272,1,3
36,绑定银行卡失败,绑卡成功了，再进去又显示要绑卡,0.8823294322528393,0.9326674201785422,53,176
37,绑定银行卡失败,绑卡显示银行卡信息不一致,0.9145806466915966,0.9558316172940268,5,19
38,绑定银行卡失败,一直跳转绑定银行卡,0.9229280024498928,0.955920417771022,1,14
39,绑定银行卡失败,绑卡有问题,0.9110541754733436,0.9356633843641236,2,5
40,绑定银行卡失败,银行卡绑定失败,0.9836311405089648,0.9894720116112241,1,1
41,补扣会影响信用吗,明天在扣会有影响吗,0.8797317477387796,0.956666356959508,6,2
42,补扣会影响信用吗,第二扣款会影响征信吗,0.9625497362424684,0.9616266448441764,2,4
43,补扣会影响信用吗,下午补扣对信用有没有影响,0.9564078268289602,0.9632446549728422,1,1
44,补扣会影响信用吗,第二天扣了会不会影响信用,0.925014512827672,0.9624548508593834,1,1
45,补扣会影响信用吗,今天扣会有影响吗,0.8823368858320855,0.9588577906836072,4,3
46,补扣会影响信用吗,不能准点出补扣结果但是扣款成功了不会影响我征信吧,0.914982151190578,0.949195640274356,23,42
47,补扣会影响信用吗,补扣不会影响征信什么的吧,0.9228086185711379,0.96810688799713,1,1
48,补扣会影响信用吗,早上10点忘记存钱进去有影响吗,0.8747724262102428,0.9447607151508698,10,37
49,补扣会影响信用吗,现在存上会影响信用吗？,0.9383889440834544,0.965858886753988,1,1
