序号,标准问,相似问,相似度-模型A,相似度-模型B,排名-模型A,排名-模型B
0,58车金融客服电话是多少,58金融公司的客服电话是多少,0.9821452160633584,0.9559454679615736,1,250
1,半年得利提前支取影响已发放利息吗,季得利满180天取出不扣利息吗,0.9351337269010488,0.9840994421479612,1,2
2,拨打我行人工客服电话是否收费,你们客服电话是不还收费呢,0.9145552954669958,0.9766376066477864,2,3
3,拨打我行人工客服电话是否收费,打电话不要钱吗,0.8697487602847489,0.9640224219474792,32,18
4,拨打我行人工客服电话是否收费,打电话免费吗,0.8895251973404967,0.9677237396845229,2,3
5,按期还款和任性还款的区别是什么,按期还款和任性还款的区别是什么,1.0,1.0,1,1
6,按期还款是什么,按期还款完后面就不会有多出的费用了把,0.8426458526368608,0.9566324332375972,309,221
7,操作好人贷是否需要开启定位,怎么会无法获取地理位置？,0.8331255489419397,0.9606689154317424,316,106
8,操作好人贷是否需要开启定位,不开定位还不能用啊,0.8410372446878913,0.9702891362737062,84,4
9,操作好人贷是否需要开启定位,点击领取额度需要设置微信定位,0.8845801177148168,0.9593506387944452,119,189
10,操作好人贷是否需要开启定位,不打开同时三处的定位肯定会拒绝是吗,0.8599440143230569,0.9745069544675709,115,4
11,操作好人贷是否需要开启定位,借款需要开启定位吗,0.9315745098406628,0.9758565689165232,3,2
12,操作好人贷是否需要开启定位,Gps是什么意思,0.7376979407585678,0.9561357650542884,428,90
13,操作好人贷是否需要开启定位,使用好人贷要开定位吗,0.9479809210506592,0.9824429789302948,1,1
14,操作好人贷是否需要开启定位,必须开GPS吗,0.8142510859038928,0.9631574048882966,127,28
15,操作好人贷是否需要开启定位,Gps需要一直打开吗,0.8599993447695626,0.9679488850464628,102,35
16,查询车贷的注册手机号码是什么,查询的手机号码根注册的不一致查不了的吗？,0.9249207354264708,0.9478579813528004,4,287
17,查询车贷的注册手机号码是什么,首次登录的号码不是车贷合同号码,0.9367807064455076,0.9762204025066601,3,1
18,查询车贷的注册手机号码是什么,登陆车贷合同的手机号,0.9337680725283076,0.9473296962335964,2,16
19,查询车贷的注册手机号码是什么,我想用车贷合同号码登录，但是提示号码微信已使用,0.9169990525743871,0.9775759638741852,12,1
20,白骑士认证失败是什么意思,登陆显示白骑士认证失败是什么原因,0.9502585418767316,0.992225461979546,1,1
21,白骑士认证失败是什么意思,白骑士认证失败,0.931924712508622,0.9842212771660016,1,1
22,白骑士认证失败是什么意思,显示白骑士认证失败,0.9284203265879843,0.9849098266303431,1,1
23,白骑士认证失败是什么意思,白骑士认证失败是什么意思呢,0.9918351793895244,0.9988158311757936,1,1
24,白骑士认证失败是什么意思,白骑士认证失败是怎么回事,0.960284573965314,0.9946756918149512,1,1
25,绑卡时页面上的银行卡预留手机号码可以修改吗,银行预留手机号默认的怎么修改,0.9606460282747278,0.9833751386211308,2,2
26,绑定银行卡产生费用吗,绑定银行卡不收费吧,0.9469263681237768,0.9912687595078103,1,1
27,绑定银行卡失败,绑定银行卡绑定不了咋办？,0.9304292280565812,0.969665598280392,6,18
28,绑定银行卡失败,绑定银行卡，显示信息错误,0.9548681002787686,0.9780076042171884,1,4
29,绑定银行卡失败,工行卡绑定不起呢？,0.8816535194398942,0.9679417490841098,217,35
30,绑定银行卡失败,绑卡提示四要素不一致,0.8812430560948903,0.9563464922679866,92,116
31,绑定银行卡失败,绑卡失败是怎么回事？,0.8314211763778667,0.9578076992831164,67,41
32,绑定银行卡失败,为什么绑卡绑不了呢？,0.8527472410869537,0.9521989026256557,185,211
33,绑定银行卡失败,绑卡不成功姓名与卡号不符合,0.9117700333142548,0.9690244244829218,1,9
34,绑定银行卡失败,是什么原因导致绑卡失败的呢,0.8390510075112272,0.9582229291202832,253,88
35,绑定银行卡失败,绑定银行卡后下一步无法操作,0.9367655293495448,0.9712360851532348,1,18
36,绑定银行卡失败,绑卡成功了，再进去又显示要绑卡,0.8823294322528393,0.9583210113395828,53,112
37,绑定银行卡失败,绑卡显示银行卡信息不一致,0.9145806466915966,0.9763687466817118,5,11
38,绑定银行卡失败,一直跳转绑定银行卡,0.9229280024498928,0.9214562498218664,1,405
39,绑定银行卡失败,绑卡有问题,0.9110541754733436,0.967897369314038,2,2
40,绑定银行卡失败,银行卡绑定失败,0.9836311405089648,0.996780533106264,1,1
41,补扣会影响信用吗,明天在扣会有影响吗,0.8797317477387796,0.9672905468893755,6,2
42,补扣会影响信用吗,第二扣款会影响征信吗,0.9625497362424684,0.986035959168386,2,1
43,补扣会影响信用吗,下午补扣对信用有没有影响,0.9564078268289602,0.9832074988717124,1,1
44,补扣会影响信用吗,第二天扣了会不会影响信用,0.925014512827672,0.9793661733073428,1,1
45,补扣会影响信用吗,今天扣会有影响吗,0.8823368858320855,0.9708506983613001,4,2
46,补扣会影响信用吗,不能准点出补扣结果但是扣款成功了不会影响我征信吧,0.914982151190578,0.976815461080274,23,21
47,补扣会影响信用吗,补扣不会影响征信什么的吧,0.9228086185711379,0.9792049286580145,1,4
48,补扣会影响信用吗,早上10点忘记存钱进去有影响吗,0.8747724262102428,0.9691918162921124,10,7
49,补扣会影响信用吗,现在存上会影响信用吗？,0.9383889440834544,0.9848137905315086,1,1
